,0
448,WALKING
449,WALKING
450,WALKING
451,WALKING
452,LAYING
453,WALKING
454,WALKING
455,WALKING
456,WALKING
457,WALKING
458,WALKING_DOWNSTAIRS
459,WALKING
460,WALKING
461,WALKING_DOWNSTAIRS
462,WALKING
463,WALKING
464,WALKING
465,WALKING
466,STANDING
467,SITTING
468,WALKING_DOWNSTAIRS
469,WALKING_DOWNSTAIRS
470,LAYING
471,WALKING
472,LAYING
473,WALKING
474,WALKING
475,WALKING
476,WALKING
477,LAYING
478,LAYING
479,WALKING
480,WALKING
481,WALKING
482,STANDING
483,WALKING
484,WALKING
485,LAYING
486,WALKING_UPSTAIRS
487,LAYING
488,WALKING
489,LAYING
490,WALKING
491,LAYING
492,WALKING
493,LAYING
494,SITTING
495,WALKING
496,LAYING
497,LAYING
498,LAYING
499,LAYING
