,0
138,WALKING
139,WALKING_UPSTAIRS
140,WALKING
141,WALKING
142,LAYING
143,WALKING_DOWNSTAIRS
144,WALKING
145,STANDING
146,SITTING
147,WALKING
148,WALKING
149,SITTING
150,LAYING
151,WALKING
152,STANDING
153,WALKING
154,STANDING
155,WALKING
156,SITTING
157,SITTING
158,SITTING
159,WALKING
160,WALKING
161,STANDING
162,STANDING
163,STANDING
164,STANDING
165,STANDING
166,STANDING
167,STANDING
168,STANDING
169,WALKING
170,STANDING
171,STANDING
172,STANDING
173,LAYING
174,STANDING
175,LAYING
176,STANDING
177,STANDING
178,STANDING
179,STANDING
180,LAYING
181,WALKING_UPSTAIRS
182,WALKING
183,STANDING
184,STANDING
185,STANDING
186,STANDING
187,STANDING
188,LAYING
189,STANDING
190,STANDING
191,STANDING
192,WALKING
193,STANDING
194,WALKING_DOWNSTAIRS
195,STANDING
196,STANDING
197,STANDING
198,STANDING
199,WALKING_DOWNSTAIRS
200,STANDING
201,STANDING
202,STANDING
203,WALKING_DOWNSTAIRS
204,WALKING_DOWNSTAIRS
205,WALKING_DOWNSTAIRS
206,STANDING
207,STANDING
208,STANDING
209,STANDING
210,STANDING
211,WALKING_DOWNSTAIRS
212,STANDING
213,STANDING
214,SITTING
215,WALKING_DOWNSTAIRS
216,WALKING_DOWNSTAIRS
217,LAYING
218,STANDING
219,STANDING
220,LAYING
221,STANDING
222,STANDING
223,STANDING
224,STANDING
225,LAYING
226,STANDING
227,SITTING
228,SITTING
229,STANDING
230,WALKING_DOWNSTAIRS
231,WALKING
232,WALKING
233,WALKING
234,SITTING
235,STANDING
236,WALKING
237,WALKING_DOWNSTAIRS
238,SITTING
239,WALKING
240,WALKING
241,STANDING
242,WALKING
243,STANDING
244,STANDING
245,STANDING
246,SITTING
247,WALKING
248,STANDING
249,STANDING
250,WALKING
251,STANDING
252,WALKING
253,WALKING
254,STANDING
255,WALKING_DOWNSTAIRS
256,WALKING
257,SITTING
258,WALKING_DOWNSTAIRS
259,STANDING
260,STANDING
261,WALKING
262,SITTING
263,WALKING
264,SITTING
265,WALKING_DOWNSTAIRS
266,WALKING
267,SITTING
268,STANDING
269,WALKING
270,SITTING
271,SITTING
272,WALKING
273,STANDING
274,SITTING
275,SITTING
276,WALKING
277,WALKING
278,WALKING
279,WALKING_DOWNSTAIRS
280,WALKING
281,WALKING
282,STANDING
283,WALKING_DOWNSTAIRS
284,WALKING_DOWNSTAIRS
285,STANDING
286,WALKING
287,WALKING_DOWNSTAIRS
288,SITTING
289,WALKING
290,WALKING_UPSTAIRS
291,SITTING
292,WALKING
293,WALKING_DOWNSTAIRS
294,SITTING
295,WALKING
296,WALKING
297,SITTING
298,STANDING
299,WALKING
300,WALKING
301,SITTING
302,WALKING
303,WALKING
304,WALKING_DOWNSTAIRS
305,SITTING
306,SITTING
307,STANDING
308,STANDING
309,STANDING
310,STANDING
311,STANDING
312,STANDING
313,STANDING
314,STANDING
315,STANDING
316,STANDING
317,STANDING
318,WALKING
319,WALKING
320,WALKING
321,STANDING
322,STANDING
323,WALKING_DOWNSTAIRS
324,STANDING
325,STANDING
326,STANDING
327,STANDING
328,STANDING
329,WALKING_DOWNSTAIRS
330,SITTING
331,STANDING
332,STANDING
333,STANDING
334,STANDING
335,STANDING
336,STANDING
337,STANDING
338,STANDING
339,STANDING
340,STANDING
341,STANDING
342,WALKING
343,STANDING
344,STANDING
345,STANDING
346,STANDING
347,STANDING
348,STANDING
349,STANDING
350,STANDING
351,STANDING
352,STANDING
353,STANDING
354,SITTING
355,WALKING
356,WALKING
357,STANDING
358,LAYING
359,LAYING
360,LAYING
361,LAYING
362,STANDING
363,LAYING
364,STANDING
365,LAYING
366,STANDING
367,STANDING
368,STANDING
369,STANDING
370,WALKING
371,WALKING
372,WALKING
373,STANDING
374,STANDING
375,STANDING
376,LAYING
377,STANDING
378,STANDING
379,STANDING
380,STANDING
381,LAYING
382,STANDING
383,STANDING
384,WALKING
385,STANDING
386,STANDING
387,STANDING
388,STANDING
389,WALKING
390,STANDING
391,SITTING
392,WALKING
393,STANDING
394,WALKING
395,WALKING
396,STANDING
397,STANDING
398,WALKING
399,WALKING
400,WALKING
401,STANDING
402,WALKING
403,STANDING
404,SITTING
405,STANDING
406,WALKING
407,STANDING
408,SITTING
409,STANDING
410,WALKING
411,WALKING
412,STANDING
413,WALKING_DOWNSTAIRS
414,STANDING
415,WALKING
416,WALKING_DOWNSTAIRS
417,WALKING
418,SITTING
419,WALKING_DOWNSTAIRS
420,WALKING
421,WALKING_UPSTAIRS
422,WALKING
423,WALKING
424,STANDING
425,SITTING
426,SITTING
427,WALKING_DOWNSTAIRS
428,STANDING
429,WALKING
430,WALKING
431,SITTING
432,WALKING_DOWNSTAIRS
433,WALKING_DOWNSTAIRS
434,STANDING
435,STANDING
436,WALKING
437,WALKING
438,WALKING_DOWNSTAIRS
439,WALKING
440,SITTING
441,WALKING
442,WALKING_DOWNSTAIRS
443,WALKING
444,WALKING
445,SITTING
446,WALKING
447,WALKING
448,WALKING
449,SITTING
450,STANDING
451,WALKING
452,WALKING
453,STANDING
454,STANDING
455,WALKING_DOWNSTAIRS
456,SITTING
457,SITTING
458,WALKING
459,WALKING
460,STANDING
461,WALKING_DOWNSTAIRS
462,STANDING
463,SITTING
464,STANDING
465,WALKING
466,WALKING
467,SITTING
468,WALKING_DOWNSTAIRS
469,WALKING_DOWNSTAIRS
470,STANDING
471,STANDING
472,STANDING
473,STANDING
474,STANDING
475,STANDING
476,STANDING
477,STANDING
478,STANDING
479,STANDING
480,STANDING
481,WALKING
482,WALKING
483,WALKING
484,STANDING
485,WALKING_DOWNSTAIRS
486,WALKING
487,STANDING
488,WALKING_UPSTAIRS
489,STANDING
490,WALKING
491,STANDING
492,SITTING
493,STANDING
494,SITTING
495,SITTING
496,STANDING
497,STANDING
498,STANDING
499,STANDING
